CEP,longitude,latitude,uf
29375000,-41.1401349,-20.377812600000002,ES
29720000,-40.49236079999999,-19.193467000000002,ES
29900240,-40.067415000000004,-19.3909615,ES
29900070,-40.0619484,-19.4030281,ES
29903350,-40.0329456,-19.3991836,ES
29900410,-40.0721201,-19.3843535,ES
29905130,-40.0490511,-19.366547,ES
29118740,-40.34155820000001,-20.350172600000004,ES
29153150,-40.36682649999999,-20.3050478,ES
29141861,-40.3938335,-20.372417199999997,ES
29149000,0.0,0.0,
29161837,0.0,0.0,
29314007,0.0,0.0,
29301785,0.0,0.0,
29111340,-40.3530372,-20.358629399999998,ES
29302130,0.0,0.0,
29309680,0.0,0.0,
29304400,-41.110327399999996,-20.8548534,ES
29311786,-41.1472894,-20.8470065,ES
29100510,-40.2942456,-20.3408952,ES
29302320,-41.128025,-20.851006899999998,ES
29107150,-40.2965771,-20.346076800000002,ES
29120310,0.0,0.0,
29101644,0.0,0.0,
29619000,0.0,0.0,
29615000,0.0,0.0,
29166370,-40.2477291,-20.1756912,ES
29932540,0.0,0.0,
29941110,-39.873823,-18.7205272,ES
29932160,-39.87056810000001,-18.713856399999997,ES
29190100,0.0,0.0,
29386000,0.0,0.0,
29314210,0.0,0.0,
29307015,-41.1044005,-20.846621799999998,ES
29325000,-41.13248,-20.7282453,ES
29307090,-41.107888700000004,-20.844990600000003,ES
29310537,-41.150040999999995,-20.8379214,ES
29306724,0.0,0.0,
29140840,-40.37383730000001,-20.3892202,ES
29116420,-40.3383692,-20.342786899999997,ES
29315038,-41.0993128,-20.881781399999998,ES
29313730,0.0,0.0,
29108130,-40.313010299999995,-20.346894,ES
29450000,0.0,0.0,
29900680,-40.071053000000006,-19.3800352,ES
29950000,0.0,0.0,
29300008,0.0,0.0,
29122020,0.0,0.0,
29943795,0.0,0.0,
29305110,-41.1072578,-20.857228600000003,ES
29027060,0.0,0.0,
29102020,-40.2989554,-20.3624595,ES
29306736,0.0,0.0,
29304630,-41.1172905,-20.858884200000002,ES
29309790,-41.1316425,-20.822434299999998,ES
29310352,0.0,0.0,
29045750,0.0,0.0,
29167720,-40.26257930000001,-20.1831085,ES
29156325,0.0,0.0,
29050700,-40.30423589999999,-20.3127124,ES
29122370,-40.3029698,-20.3350836,ES
29171070,-40.23948970000001,-20.1298094,ES
29120110,-40.3208265,-20.33784,ES
29114060,-40.3496381,-20.3354381,ES
29211610,0.0,0.0,
29309040,0.0,0.0,
29313520,0.0,0.0,
29301100,0.0,0.0,
29313370,0.0,0.0,
29302010,-41.1349453,-20.8499091,ES
29309500,0.0,0.0,
29700640,-40.6203435,-19.531819199999997,ES
35900025,-43.2241852,-19.6207496,MG
29901030,-40.048089700000006,-19.4056842,ES
29901140,-40.0490511,-19.4035938,ES
29041370,-40.3241035,-20.3139748,ES
29157325,-40.37790089999999,-20.2547079,ES
29145050,0.0,0.0,
29125580,0.0,0.0,
29045011,0.0,0.0,
29145030,-40.390249100000005,-20.3560412,ES
29127310,0.0,0.0,
29114330,-40.352399600000005,-20.3306353,ES
29111360,-40.3575007,-20.3589234,ES
29302340,-41.131799799999996,-20.853255800000003,ES
29305510,-41.0974244,-20.8576861,ES
29303130,0.0,0.0,
29129050,0.0,0.0,
29304180,-41.1214972,-20.8656015,ES
29312195,0.0,0.0,
29305600,-41.0932653,-20.8503164,ES
29315455,0.0,0.0,
29313335,0.0,0.0,
29118010,-40.3441093,-20.3457914,ES
29112170,-40.348892299999996,-20.3567158,ES
29350000,0.0,0.0,
29200010,-40.4946761,-20.6663107,ES
29940250,-39.87091220000001,-18.724488,ES
29103250,-40.322421500000004,-20.387022100000003,ES
29154005,0.0,0.0,
29200100,-40.4952235,-20.66893,ES
29933610,-39.8506781,-18.7169181,ES
29201360,0.0,0.0,
29216600,-40.4828973,-20.6426417,ES
29309234,0.0,0.0,
29190994,0.0,0.0,
29906420,-40.054819200000004,-19.347887399999998,ES
29540000,0.0,0.0,
29941090,-39.8725374,-18.719935999999997,ES
35200000,0.0,0.0,
29112580,-40.3546314,-20.369211399999998,ES
29043600,-40.323219,-20.2938409,ES
29120180,-40.3191071,-20.3374882,ES
29300700,0.0,0.0,
29314350,0.0,0.0,
29326000,0.0,0.0,
29307000,0.0,0.0,
29301020,-41.1247219,-20.8366073,ES
29031320,0.0,0.0,
29140550,-40.3568631,-20.3413408,ES
29120190,-40.3181149,-20.3369053,ES
29142220,0.0,0.0,
85139400,0.0,0.0,
29118360,-40.3391665,-20.3519068,ES
29309258,-41.1097768,-20.839575699999997,ES
29118140,-40.33966849999999,-20.346889,ES
29141868,-40.3911253,-20.3708734,ES
97940000,-54.84012269999999,-28.1078298,RS
45995000,0.0,0.0,
29216720,-40.479672799999996,-20.6497927,ES
29900010,-40.0661134,-19.404992,ES
29901320,-40.05975540000001,-19.3971682,ES
29943160,-39.88699879999999,-18.7180985,ES
29937020,0.0,0.0,
29045150,0.0,0.0,
29155349,-40.3646734,-20.2976952,ES
29313167,0.0,0.0,
29309252,-41.1159913,-20.8411943,ES
29309254,-41.1107994,-20.838290399999998,ES
29310507,0.0,0.0,
29216390,-40.4835336,-20.6484303,ES
29052110,-40.302002200000004,-20.3130229,ES
29305650,-41.0946196,-20.851045000000003,ES
29108050,-40.3131699,-20.346084100000002,ES
29302120,-41.1286542,-20.8493035,ES
29315010,-41.09954889999999,-20.8828538,ES
29172070,-40.20963039999999,-20.1747419,ES
29310349,-41.1538929,-20.8443272,ES
36830000,-41.939489200000004,-20.6101715,MG
29903440,0.0,0.0,
29103560,-40.3252924,-20.3813252,ES
29123630,-40.3022684,-20.3313643,ES
29113240,-40.3449348,-20.3759337,ES
29176180,0.0,0.0,
29162020,0.0,0.0,
29144658,0.0,0.0,
29105430,-40.31157460000001,-20.3633742,ES
29045360,-40.2997684,-20.2912772,ES
29127325,0.0,0.0,
29203001,0.0,0.0,
29126120,-40.3377314,-20.428417899999996,ES
29311734,-41.1492503,-20.8477432,ES
29122120,0.0,0.0,
29306220,-41.093175099999996,-20.8546598,ES
29210230,0.0,0.0,
29309300,-41.1138343,-20.8414395,ES
29050450,-40.2898749,-20.317902800000002,ES
29110100,-40.3201885,-20.352106699999997,ES
29170100,0.0,0.0,
29903570,-40.0362312,-19.3934958,ES
29903390,-40.0535374,-19.3825113,ES
29301190,-41.1263735,-20.8415262,ES
29305454,0.0,0.0,
29301750,0.0,0.0,
29300490,-41.124643299999995,-20.8468948,ES
29309243,-41.1126874,-20.841240600000003,ES
29315465,-41.1786488,-20.834774300000003,ES
29309390,-41.1179578,-20.8259483,ES
29307590,-41.1082034,-20.840336399999998,ES
29313742,-41.1597881,-20.8472501,ES
29155577,-40.38471639999999,-20.297778100000002,ES
29141520,-40.3663463,-20.353928699999997,ES
29148002,0.0,0.0,
29942400,0.0,0.0,
29945580,-39.7581857,-18.7454523,ES
29942360,0.0,0.0,
29201380,-40.5119192,-20.6744707,ES
29102205,-40.30615039999999,-20.372228399999997,ES
29115080,0.0,0.0,
35246000,-41.1401349,-19.0204229,MG
29305680,-41.095901299999994,-20.850984,ES
29306610,0.0,0.0,
29305610,0.0,0.0,
29115828,-40.3294424,-20.3428098,ES
29174155,0.0,0.0,
29120365,-40.317716100000005,-20.342146300000003,ES
28810000,0.0,0.0,
29901270,-40.05529979999999,-19.403325600000002,ES
29116110,-40.333585299999996,-20.338292000000003,ES
29310566,-41.145324,-20.8398999,ES
29160101,0.0,0.0,
29163375,-40.264495200000006,-20.226698300000002,ES
29047650,-40.308703,-20.2940194,ES
29300120,-41.111586100000004,-20.8508377,ES
29106525,0.0,0.0,
29120007,0.0,0.0,
29215130,0.0,0.0,
29945600,-39.7494764,-18.7485323,ES
29620000,-40.898076700000004,-19.940272,ES
29941160,0.0,0.0,
29161000,-40.2788624,-20.2353095,ES
29156130,0.0,0.0,
29100010,-40.2895557,-20.336374300000003,ES
29311787,-41.1475253,-20.8456457,ES
29314796,-41.1032468,-20.8756187,ES
29311210,0.0,0.0,
29160180,-40.2732756,-20.237611800000003,ES
29300200,-41.114368400000004,-20.8483327,ES
29102140,-40.3033605,-20.368714899999997,ES
29185970,0.0,0.0,
29100900,0.0,0.0,
29190970,0.0,0.0,
29901392,-40.0580677,-19.3996182,ES
29901395,-40.0573593,-19.4029402,ES
29321000,0.0,0.0,
29125100,-40.3282429,-20.421020000000002,ES
29129661,-40.3498394,-20.4856047,ES
29047090,-40.31380789999999,-20.300573899999996,ES
29070470,-40.301307200000004,-20.261087,ES
29176008,0.0,0.0,
29118575,-40.3356509,-20.3438069,ES
29100011,-40.2854063,-20.336907699999998,ES
29110120,-40.3211455,-20.352760800000002,ES
29143130,-40.3892973,-20.3557025,ES
29300784,-41.12079620000001,-20.846234600000003,ES
29142765,0.0,0.0,
29122170,-40.308782799999996,-20.3337419,ES
29140250,-40.36483279999999,-20.3323978,ES
29937110,-39.856804600000004,-18.745201899999998,ES
29901165,-40.0500125,-19.402422,ES
29900560,-40.07268070000001,-19.3844354,ES
29148140,-40.3970196,-20.3378646,ES
29156584,-40.3985583,-20.277920899999998,ES
29309130,-41.1184297,-20.8347837,ES
29119710,0.0,0.0,
29220400,-40.4863171,-20.6243117,ES
29114310,0.0,0.0,
29150170,-40.3763073,-20.3234034,ES
29317485,0.0,0.0,
29156708,0.0,0.0,
29315000,0.0,0.0,
29335000,0.0,0.0,
29327000,0.0,0.0,
39860000,0.0,0.0,
29100120,-40.2960169,-20.330204600000002,ES
29125020,-40.3278442,-20.4225858,ES
29314650,-41.12613760000001,-20.8752787,ES
29102100,-40.2997684,-20.363271100000002,ES
29309490,0.0,0.0,
29300500,-41.13768410000001,-20.847125199999997,ES
29308170,-41.1166992,-20.8445628,ES
29308490,-41.11953090000001,-20.8416117,ES
29316010,-41.10143720000001,-20.8597919,ES
29315431,-41.178539799999996,-20.839963,ES
29305120,-41.107023299999994,-20.8582463,ES
29520000,0.0,0.0,
29200200,-40.4960186,-20.6685527,ES
29125030,-40.326887299999996,-20.424076899999996,ES
29040720,0.0,0.0,
29101100,-40.2734352,-20.3228997,ES
29206000,0.0,0.0,
29154492,-40.39335560000001,-20.3038376,ES
29119210,-40.3232981,-20.342666100000002,ES
29156545,-40.408487799999996,-20.2771576,ES
29111630,-40.35051929999999,-20.351518399999996,ES
29040740,-40.320020299999996,-20.310346,ES
29938310,-39.8191611,-18.729501100000004,ES
29118570,-40.3328677,-20.3440799,ES
29370000,0.0,0.0,
29755000,0.0,0.0,
29140210,0.0,0.0,
29045100,-40.304874100000006,-20.287112,ES
29943730,-39.9019595,-18.7140013,ES
29140120,-40.36363739999999,-20.3384693,ES
29100431,0.0,0.0,
29156690,-40.4004458,-20.2803677,ES
29314125,0.0,0.0,
29314065,0.0,0.0,
29113050,-40.35208069999999,-20.373593300000003,ES
29306721,-41.1013585,-20.8433108,ES
29165680,-40.26033049999999,-20.1940535,ES
29106270,-40.3047145,-20.3473503,ES
29302220,-41.1336871,-20.8524034,ES
29050210,-40.3003595,-20.317363699999998,ES
29140780,0.0,0.0,
29131450,0.0,0.0,
29208000,0.0,0.0,
35290000,0.0,0.0,
36955000,-41.4812771,-19.912527899999997,MG
29704101,0.0,0.0,
29906725,-40.058343900000004,-19.373898999999998,ES
29903121,0.0,0.0,
29902360,-40.06214779999999,-19.3794787,ES
29908120,-40.0553799,-19.3352665,ES
29144741,-40.405621000000004,-20.3556773,ES
29141290,-40.37088910000001,-20.3497012,ES
29104496,-40.322546,-20.366534299999998,ES
29160010,0.0,0.0,
29104010,0.0,0.0,
29165592,-40.258907,-20.1965233,ES
29127043,-40.355269,-20.4397781,ES
29060010,-40.2917899,-20.280305,ES
29026010,-40.355269,-20.3099397,ES
29933530,-39.8445689,-18.717549899999998,ES
29026040,0.0,0.0,
29010902,0.0,0.0,
29200365,0.0,0.0,
29122125,-40.31029840000001,-20.3321742,ES
29302847,0.0,0.0,
29142353,0.0,0.0,
29941150,0.0,0.0,
29931730,0.0,0.0,
29937290,-39.8352347,-18.7296214,ES
29216770,-40.4877486,-20.6430352,ES
29142550,0.0,0.0,
29211360,-40.517165500000004,-20.6440779,ES
29302020,-41.1334512,-20.850115,ES
29311742,0.0,0.0,
29305496,-41.09808029999999,-20.858088199999997,ES
29305180,-41.1083607,-20.858390300000003,ES
29706045,-40.6433261,-19.5194069,ES
29906100,-40.06026629999999,-19.358393600000003,ES
29900440,-40.0669786,-19.3913951,ES
29301400,-41.12598029999999,-20.838675100000003,ES
29310380,-41.1534998,-20.8445175,ES
29309140,-41.11780039999999,-20.8349663,ES
29106260,-40.305954,-20.3469077,ES
29309780,0.0,0.0,
29108510,-40.3128508,-20.35138,ES
29142346,0.0,0.0,
29026290,-40.3519316,-20.3083222,ES
29070010,-40.2876406,-20.2713392,ES
29145110,-40.3970196,-20.3537799,ES
29310345,-41.1521152,-20.845545899999998,ES
29210110,0.0,0.0,
29208160,0.0,0.0,
29210140,0.0,0.0,
29210240,-40.509375399999996,-20.6617255,ES
29108010,-40.3103187,-20.3439038,ES
29118230,-40.339963700000006,-20.3542892,ES
29908270,-40.0589847,-19.3357735,ES
29160020,-40.276809,-20.2273652,ES
29309400,-41.11890160000001,-20.825674499999998,ES
29315470,-41.1785702,-20.8373047,ES
29153300,0.0,0.0,
29100401,-40.3221133,-20.339513500000002,ES
29150570,-40.381601200000006,-20.3278576,ES
29169080,-40.2559531,-20.147781100000003,ES
29309248,-41.1110355,-20.839818899999997,ES
29309480,0.0,0.0,
29941010,0.0,0.0,
29116000,0.0,0.0,
29156055,-40.4141415,-20.2695505,ES
29127355,-40.35263870000001,-20.4434958,ES
29119740,0.0,0.0,
29943615,-39.8903726,-18.7213701,ES
29156070,-40.4189984,-20.264458899999997,ES
29102715,0.0,0.0,
29160060,-40.2759523,-20.2340672,ES
29255000,-40.776661100000005,-20.4419793,ES
29123010,-40.3055124,-20.332705999999998,ES
29106055,-40.3071077,-20.3529687,ES
29102740,-40.30265350000001,-20.3559557,ES
29125033,-40.3299959,-20.4263637,ES
29302300,0.0,0.0,
29305500,-41.0970724,-20.8565782,ES
29302110,-41.1272386,-20.8498667,ES
29202210,0.0,0.0,
29203170,0.0,0.0,
29030130,-40.336774600000005,-20.2813708,ES
29046010,-40.3029595,-20.3075509,ES
29213005,-40.52050379999999,-20.645737,ES
29200350,-40.4991196,-20.6723449,ES
29127260,-40.3534487,-20.441510600000004,ES
29123060,-40.3036245,-20.333248100000002,ES
29314020,-41.17739160000001,-20.8293646,ES
29177490,-40.309003999999995,-20.1194282,ES
29309370,-41.117013899999996,-20.8253096,ES
29302851,-41.12330619999999,-20.8520733,ES
29302845,-41.125823,-20.849517499999997,ES
29043510,-40.3217835,-20.2934716,ES
29164022,0.0,0.0,
29163331,-40.250603600000005,-20.2184112,ES
29161545,-40.27367460000001,-20.2225674,ES
29161811,-40.2837305,-20.2257766,ES
29161804,-40.279580700000004,-20.2275302,ES
29308011,0.0,0.0,
29302160,0.0,0.0,
29221015,-40.45815770000001,-20.621366899999998,ES
29221610,-40.4580781,-20.613507100000003,ES
29221550,-40.4539406,-20.614975899999997,ES
29943610,0.0,0.0,
29065010,-40.29306649999999,-20.275358100000002,ES
29045670,-40.3112555,-20.305260500000003,ES
30664370,0.0,0.0,
29310347,-41.154207299999996,-20.8439318,ES
29901610,-40.0629226,-19.393160199999997,ES
29906840,0.0,0.0,
29901330,0.0,0.0,
29055010,0.0,0.0,
29043010,-40.3174676,-20.29746,ES
29155390,-40.3651516,-20.299858800000003,ES
29119050,-40.3278442,-20.3438622,ES
29106010,-40.3050336,-20.345117499999997,ES
29160521,-40.270641600000005,-20.2420891,ES
29155588,0.0,0.0,
29106281,0.0,0.0,
29172140,-40.199707399999994,-20.175354000000002,ES
29163320,-40.2515618,-20.2190674,ES
29120135,-40.3217835,-20.3375754,ES
29105520,-40.3112555,-20.3671388,ES
29946190,-39.7687965,-18.729554,ES
29725000,-40.5330604,-19.416539999999998,ES
29903070,-40.0525761,-19.3888875,ES
29903260,-40.03783380000001,-19.398585999999998,ES
29906460,-40.0522557,-19.3470305,ES
29901435,-40.05529979999999,-19.3990392,ES
29908615,-40.043282500000004,-19.354286600000002,ES
29752000,0.0,0.0,
